State,Year,Warning_Device,Severity_Bucket
OK,2021,Gates,2
LA,2022,Other,0
CA,2019,Xings,2
OK,2018,Lights,1
IL,2022,None,0
AR,2019,Xings,0
WI,2019,Other,0
OH,2021,Lights,1
GA,2023,Other,1
WI,2021,Xings,2
OH,2019,Other,0
TN,2021,None,0
MO,2018,None,1
KY,2020,Other,2
AR,2021,Lights,1
KS,2020,Xings,0
KY,2018,None,0
KY,2022,Other,0
WI,2020,Lights,0
AL,2022,Gates,0
GA,2019,Other,2
NE,2021,Other,2
WI,2021,None,1
OH,2018,Xings,1
WI,2021,Gates,2
MS,2020,Gates,1
IL,2018,Gates,0
LA,2019,Xings,0
MN,2022,Lights,0
LA,2023,Xings,1
MO,2021,Lights,1
GA,2022,Other,0
LA,2020,Xings,0
CA,2020,Other,0
MO,2023,Other,0
TX,2022,None,0
OH,2023,None,1
GA,2018,Other,2
OH,2023,Gates,2
KY,2021,Xings,0
LA,2019,Gates,2
FL,2021,None,0
MN,2023,Other,1
LA,2021,None,0
KY,2020,Xings,0
WI,2018,Other,2
LA,2020,Gates,1
OH,2019,Lights,1
CA,2018,Gates,0
AR,2018,Other,0
MO,2023,None,1
WI,2020,None,1
MO,2023,Gates,0
CA,2021,Xings,1
TN,2020,Other,1
GA,2022,Gates,2
KY,2018,Lights,2
IA,2018,Lights,1
WI,2022,Gates,0
AR,2020,Other,1
KY,2018,Other,1
OH,2022,Other,1
CA,2022,Xings,0
NE,2019,Other,0
IL,2019,Xings,0
IA,2023,Other,1
KY,2020,None,0
CA,2023,Xings,0
FL,2023,None,1
KY,2021,Other,2
IN,2022,Lights,1
AR,2020,Other,2
MN,2020,Gates,2
CA,2018,Xings,0
NE,2021,Lights,2
WI,2019,Gates,1
MS,2022,Xings,1
IL,2021,Other,2
KS,2019,Gates,0
WI,2019,None,0
OH,2019,Xings,2
AR,2023,Lights,0
WI,2021,Other,0
NE,2021,Lights,1
MN,2019,None,2
IN,2020,Xings,1
MO,2021,None,0
WI,2018,Gates,0
TX,2022,Gates,1
