State,Year,Incident_Count
AL,2018,23
AL,2019,34
AL,2020,30
AL,2021,29
AL,2022,27
AL,2023,38
AR,2018,33
AR,2019,34
AR,2020,27
AR,2021,25
AR,2022,25
AR,2023,16
CA,2018,23
CA,2019,25
CA,2020,19
CA,2021,30
CA,2022,38
CA,2023,37
FL,2018,33
FL,2019,28
FL,2020,31
FL,2021,25
FL,2022,24
FL,2023,35
GA,2018,31
GA,2019,30
GA,2020,25
GA,2021,23
GA,2022,32
GA,2023,18
IA,2018,30
IA,2019,31
IA,2020,34
IA,2021,23
IA,2022,31
IA,2023,26
IL,2018,30
IL,2019,27
IL,2020,26
IL,2021,31
IL,2022,42
IL,2023,28
IN,2018,30
IN,2019,33
IN,2020,39
IN,2021,31
IN,2022,21
IN,2023,32
KS,2018,26
KS,2019,29
KS,2020,31
KS,2021,34
KS,2022,23
KS,2023,24
KY,2018,24
KY,2019,36
KY,2020,35
KY,2021,26
KY,2022,37
KY,2023,23
LA,2018,34
LA,2019,29
LA,2020,32
LA,2021,29
LA,2022,25
LA,2023,28
MN,2018,33
MN,2019,37
MN,2020,29
MN,2021,24
MN,2022,35
MN,2023,34
MO,2018,34
MO,2019,30
MO,2020,28
MO,2021,23
MO,2022,40
MO,2023,33
MS,2018,24
MS,2019,26
MS,2020,27
MS,2021,33
MS,2022,29
MS,2023,25
NE,2018,26
NE,2019,24
NE,2020,26
NE,2021,25
NE,2022,33
NE,2023,41
OH,2018,30
OH,2019,29
OH,2020,33
OH,2021,26
OH,2022,27
OH,2023,31
OK,2018,21
OK,2019,40
OK,2020,24
OK,2021,33
OK,2022,29
OK,2023,26
TN,2018,35
TN,2019,21
TN,2020,29
TN,2021,32
TN,2022,32
TN,2023,30
TX,2018,24
TX,2019,27
TX,2020,26
TX,2021,30
TX,2022,20
TX,2023,31
WI,2018,36
WI,2019,31
WI,2020,34
WI,2021,29
WI,2022,18
WI,2023,29
